customer_id,churn_probability,churn_risk,ltv,customer_segment,retention_priority_score,retention_priority
1751-NCDLI,0.86,High Risk,4547.099999999999,High Value At Risk,72.87,High
5440-VHLUL,0.45,Medium Risk,7258.8,VIP Customer,60.96,High
6173-GOLSU,0.51,Medium Risk,6341.55,VIP Customer,60.27,High
2439-LYPMQ,0.7,High Risk,3898.8,High Value At Risk,60.24,High
8375-DKEBR,0.975,High Risk,69.6,Churn Risk,58.83,High
8161-QYMTT,0.925,High Risk,658.6999999999999,Churn Risk,58.58,High
5542-TBBWB,0.97,High Risk,69.9,Churn Risk,58.53,High
9804-ICWBG,0.97,High Risk,69.9,Churn Risk,58.53,High
2452-KDRRH,0.435,Medium Risk,6793.8,VIP Customer,57.88,High
7278-CKDNC,0.81,High Risk,1932.0,Churn Risk,57.64,High
8739-WWKDU,0.78,High Risk,2237.5,Churn Risk,57.27,High
7056-IMHCC,0.53,Medium Risk,5400.700000000001,High Value Customer,57.07,High
1820-TQVEV,0.945,High Risk,69.55,Churn Risk,57.03,High
3320-VEOYC,0.84,High Risk,1338.4,Churn Risk,56.66,High
6861-XWTWQ,0.885,High Risk,694.75,Churn Risk,56.35,High
2545-EBUPK,0.925,High Risk,168.1,Churn Risk,56.29,High
2665-NPTGL,0.735,High Risk,2550.6,Churn Risk,56.03,High
0655-RBDUG,0.88,High Risk,686.35,Churn Risk,56.01,High
6543-XRMYR,0.7,High Risk,2991.0,Churn Risk,55.99,High
1069-XAIEM,0.925,High Risk,85.05,Churn Risk,55.9,High
9248-OJYKK,0.925,High Risk,76.45,Churn Risk,55.86,High
3716-BDVDB,0.925,High Risk,69.1,Churn Risk,55.82,High
0295-PPHDO,0.92,High Risk,95.45,Churn Risk,55.65,High
8884-ADFVN,0.87,High Risk,713.65,Churn Risk,55.54,High
1143-NMNQJ,0.905,High Risk,171.4,Churn Risk,55.1,High
6377-WHAOX,0.42,Medium Risk,6369.0,VIP Customer,55.0,High
2514-GINMM,0.91,High Risk,79.5,Churn Risk,54.97,High
8258-GSTJK,0.895,High Risk,231.0,Churn Risk,54.78,High
8245-UMPYT,0.79,High Risk,1542.4,Churn Risk,54.62,High
2737-YNGYW,0.89,High Risk,161.1,Churn Risk,54.15,High
2800-QQUSO,0.57,Medium Risk,4212.599999999999,High Value Customer,53.91,High
9057-SIHCH,0.875,High Risk,289.79999999999995,Churn Risk,53.86,High
6651-AZVTJ,0.515,Medium Risk,4890.2,High Value Customer,53.78,High
2867-UIMSS,0.89,High Risk,80.5,Churn Risk,53.78,High
8709-KRDVL,0.635,Medium Risk,3300.0,High Value Customer,53.54,High
6328-ZPBGN,0.81,High Risk,1046.65,Churn Risk,53.5,High
7249-WBIYX,0.825,High Risk,856.0,Churn Risk,53.5,High
4415-IJZTP,0.885,High Risk,74.5,Churn Risk,53.45,High
8380-PEFPE,0.885,High Risk,71.65,Churn Risk,53.44,High
4735-ASGMA,0.69,Medium Risk,2557.1,Monitor,53.36,High
4817-VYYWS,0.65,Medium Risk,3006.0,High Value Customer,53.06,High
6899-PPEEA,0.605,Medium Risk,3572.35,High Value Customer,53.01,High
0841-NULXI,0.88,High Risk,35.55,Churn Risk,52.97,High
9221-OTIVJ,0.765,High Risk,1467.9,Churn Risk,52.77,High
5331-RGMTT,0.46,Medium Risk,5348.7,High Value Customer,52.62,High
1833-TCXKK,0.495,Medium Risk,4848.75,High Value Customer,52.38,High
4090-KPJIP,0.855,High Risk,224.85,Churn Risk,52.35,High
5178-LMXOP,0.865,High Risk,95.1,Churn Risk,52.34,High
2609-IAICY,0.865,High Risk,77.15,Churn Risk,52.26,High
