customer_id,ltv,ltv_segment,churn_risk,customer_segment
1751-NCDLI,4547.099999999999,High Value,High Risk,High Value At Risk
5440-VHLUL,7258.8,Very High Value,Medium Risk,VIP Customer
6173-GOLSU,6341.55,Very High Value,Medium Risk,VIP Customer
2439-LYPMQ,3898.8,High Value,High Risk,High Value At Risk
8375-DKEBR,69.6,Low Value,High Risk,Churn Risk
8161-QYMTT,658.6999999999999,Low Value,High Risk,Churn Risk
5542-TBBWB,69.9,Low Value,High Risk,Churn Risk
9804-ICWBG,69.9,Low Value,High Risk,Churn Risk
2452-KDRRH,6793.8,Very High Value,Medium Risk,VIP Customer
7278-CKDNC,1932.0,Medium Value,High Risk,Churn Risk
8739-WWKDU,2237.5,Medium Value,High Risk,Churn Risk
7056-IMHCC,5400.700000000001,High Value,Medium Risk,High Value Customer
1820-TQVEV,69.55,Low Value,High Risk,Churn Risk
3320-VEOYC,1338.4,Medium Value,High Risk,Churn Risk
6861-XWTWQ,694.75,Low Value,High Risk,Churn Risk
2545-EBUPK,168.1,Low Value,High Risk,Churn Risk
2665-NPTGL,2550.6,Medium Value,High Risk,Churn Risk
0655-RBDUG,686.35,Low Value,High Risk,Churn Risk
6543-XRMYR,2991.0,Medium Value,High Risk,Churn Risk
1069-XAIEM,85.05,Low Value,High Risk,Churn Risk
9248-OJYKK,76.45,Low Value,High Risk,Churn Risk
3716-BDVDB,69.1,Low Value,High Risk,Churn Risk
0295-PPHDO,95.45,Low Value,High Risk,Churn Risk
8884-ADFVN,713.65,Low Value,High Risk,Churn Risk
1143-NMNQJ,171.4,Low Value,High Risk,Churn Risk
6377-WHAOX,6369.0,Very High Value,Medium Risk,VIP Customer
2514-GINMM,79.5,Low Value,High Risk,Churn Risk
8258-GSTJK,231.0,Low Value,High Risk,Churn Risk
8245-UMPYT,1542.4,Medium Value,High Risk,Churn Risk
2737-YNGYW,161.1,Low Value,High Risk,Churn Risk
2800-QQUSO,4212.599999999999,High Value,Medium Risk,High Value Customer
9057-SIHCH,289.79999999999995,Low Value,High Risk,Churn Risk
6651-AZVTJ,4890.2,High Value,Medium Risk,High Value Customer
2867-UIMSS,80.5,Low Value,High Risk,Churn Risk
8709-KRDVL,3300.0,High Value,Medium Risk,High Value Customer
6328-ZPBGN,1046.65,Medium Value,High Risk,Churn Risk
7249-WBIYX,856.0,Low Value,High Risk,Churn Risk
4415-IJZTP,74.5,Low Value,High Risk,Churn Risk
8380-PEFPE,71.65,Low Value,High Risk,Churn Risk
4735-ASGMA,2557.1,Medium Value,Medium Risk,Monitor
4817-VYYWS,3006.0,High Value,Medium Risk,High Value Customer
6899-PPEEA,3572.35,High Value,Medium Risk,High Value Customer
0841-NULXI,35.55,Low Value,High Risk,Churn Risk
9221-OTIVJ,1467.9,Medium Value,High Risk,Churn Risk
5331-RGMTT,5348.7,High Value,Medium Risk,High Value Customer
1833-TCXKK,4848.75,High Value,Medium Risk,High Value Customer
4090-KPJIP,224.85,Low Value,High Risk,Churn Risk
5178-LMXOP,95.1,Low Value,High Risk,Churn Risk
2609-IAICY,77.15,Low Value,High Risk,Churn Risk
6023-YEBUP,302.85,Low Value,High Risk,Churn Risk
4750-ZRXIU,338.4,Low Value,High Risk,Churn Risk
8593-WHYHV,255.9,Low Value,High Risk,Churn Risk
6979-ZNSFF,696.4,Low Value,High Risk,Churn Risk
7134-MJPDY,6788.099999999999,Very High Value,Low Risk,VIP Customer
4713-LZDRV,159.2,Low Value,High Risk,Churn Risk
5196-SGOAK,75.7,Low Value,High Risk,Churn Risk
4587-VVTOX,631.8,Low Value,High Risk,Churn Risk
2034-GDRCN,180.8,Low Value,High Risk,Churn Risk
1240-KNSEZ,20.1,Low Value,High Risk,Churn Risk
6821-BUXUX,1256.45,Medium Value,High Risk,Churn Risk
7180-PISOG,74.5,Low Value,High Risk,Churn Risk
2865-TCHJW,356.8,Low Value,High Risk,Churn Risk
5380-WJKOV,3615.9,High Value,Medium Risk,High Value Customer
8397-MVTAZ,3401.7,High Value,Medium Risk,High Value Customer
2959-MJHIC,321.4,Low Value,High Risk,Churn Risk
8752-STIVR,316.0,Low Value,High Risk,Churn Risk
3672-YITQD,3027.6,High Value,Medium Risk,High Value Customer
1768-ZAIFU,25.2,Low Value,High Risk,Churn Risk
2254-DLXRI,79.15,Low Value,High Risk,Churn Risk
1853-UDXBW,70.0,Low Value,High Risk,Churn Risk
2985-FMWYF,2150.5,Medium Value,Medium Risk,Monitor
6856-RAURS,149.8,Low Value,High Risk,Churn Risk
6857-VWJDT,95.65,Low Value,High Risk,Churn Risk
3707-GNWHM,74.25,Low Value,High Risk,Churn Risk
5382-SOYZL,2092.2,Medium Value,Medium Risk,Monitor
6661-HBGWL,4399.5,High Value,Medium Risk,High Value Customer
5628-FCGYG,1766.1,Medium Value,Medium Risk,Monitor
6969-MVBAI,810.9,Low Value,High Risk,Churn Risk
8622-ZLFKO,544.5,Low Value,High Risk,Churn Risk
7130-VTEWQ,606.0,Low Value,High Risk,Churn Risk
8785-CJSHH,5988.0,High Value,Low Risk,High Value Customer
4342-HENTK,141.3,Low Value,High Risk,Churn Risk
1035-IPQPU,6520.5,Very High Value,Low Risk,VIP Customer
2277-DJJDL,5940.0,High Value,Low Risk,High Value Customer
8739-XNIKG,420.0,Low Value,High Risk,Churn Risk
1320-HTRDR,226.5,Low Value,High Risk,Churn Risk
1587-FKLZB,6567.0,Very High Value,Low Risk,VIP Customer
6230-BSUXY,85.0,Low Value,High Risk,Churn Risk
6372-RFVNS,78.8,Low Value,High Risk,Churn Risk
6630-UJZMY,333.0,Low Value,High Risk,Churn Risk
3422-LYEPQ,71.0,Low Value,High Risk,Churn Risk
3585-ISXZP,765.2,Low Value,High Risk,Churn Risk
4301-VVZKA,1206.4,Medium Value,High Risk,Churn Risk
7273-TEFQD,123.45,Low Value,High Risk,Churn Risk
4445-ZJNMU,893.6999999999999,Low Value,High Risk,Churn Risk
4927-WWOOZ,182.9,Low Value,High Risk,Churn Risk
8443-ZRDBZ,304.2,Low Value,High Risk,Churn Risk
6710-HSJRD,6960.099999999999,Very High Value,Low Risk,VIP Customer
0376-YMCJC,2083.8,Medium Value,Medium Risk,Monitor
1628-BIZYP,85.0,Low Value,High Risk,Churn Risk
0576-WNXXC,2579.85,Medium Value,Medium Risk,Monitor
3006-XIMLN,188.4,Low Value,High Risk,Churn Risk
5167-ZFFMM,90.85,Low Value,High Risk,Churn Risk
2202-CUYXZ,84.85,Low Value,High Risk,Churn Risk
9611-CTWIH,268.35,Low Value,High Risk,Churn Risk
7952-OBOYL,269.54999999999995,Low Value,High Risk,Churn Risk
3756-VNWDH,6548.75,Very High Value,Low Risk,VIP Customer
2845-HSJCY,1221.5,Medium Value,High Risk,Churn Risk
4229-CZMLL,449.4,Low Value,High Risk,Churn Risk
2307-FYNNL,7088.25,Very High Value,Low Risk,VIP Customer
7198-GLXTC,158.0,Low Value,High Risk,Churn Risk
0471-ARVMX,6500.7,Very High Value,Low Risk,VIP Customer
9334-GWGOW,523.9499999999999,Low Value,High Risk,Churn Risk
8058-DMYRU,4862.7,High Value,Medium Risk,High Value Customer
7817-BOQPW,151.1,Low Value,High Risk,Churn Risk
5698-BQJOH,849.6,Low Value,High Risk,Churn Risk
2027-FECZV,1280.4,Medium Value,Medium Risk,Monitor
3729-OWRVL,7172.75,Very High Value,Low Risk,VIP Customer
8083-YTZES,297.4,Low Value,High Risk,Churn Risk
4873-ILOLJ,2168.4,Medium Value,Medium Risk,Monitor
0531-ZZJWQ,4070.0,High Value,Medium Risk,High Value Customer
1444-VVSGW,8095.5,Very High Value,Low Risk,VIP Customer
9507-EXLTT,79.35,Low Value,High Risk,Churn Risk
8696-JKZNU,2821.25,Medium Value,Medium Risk,Monitor
1400-MMYXY,317.70000000000005,Low Value,High Risk,Churn Risk
7036-TYDEC,7176.0,Very High Value,Low Risk,VIP Customer
3722-WPXTK,88.35,Low Value,High Risk,Churn Risk
2077-MPJQO,527.8000000000001,Low Value,High Risk,Churn Risk
3339-EAQNV,7002.0,Very High Value,Low Risk,VIP Customer
0390-DCFDQ,70.45,Low Value,High Risk,Churn Risk
5186-SAMNZ,69.5,Low Value,High Risk,Churn Risk
1867-BDVFH,817.8499999999999,Low Value,High Risk,Churn Risk
3976-NLDEZ,20.6,Low Value,High Risk,Churn Risk
8873-GLDMH,443.1,Low Value,High Risk,Churn Risk
1357-BIJKI,4912.5,High Value,Low Risk,High Value Customer
5144-TVGLP,3600.5,High Value,Medium Risk,High Value Customer
7572-KPVKK,6451.099999999999,Very High Value,Low Risk,VIP Customer
3519-ZKXGG,227.55,Low Value,High Risk,Churn Risk
2386-OWURY,5527.4,High Value,Low Risk,High Value Customer
7363-QTBIW,717.75,Low Value,High Risk,Churn Risk
