customer_id,ltv,churn_probability,customer_segment,retention_priority_score,retention_priority,recommended_action
1751-NCDLI,4547.099999999999,0.86,High Value At Risk,72.87,High,Offer discount / loyalty benefit
5440-VHLUL,7258.8,0.45,VIP Customer,60.96,High,Offer discount / loyalty benefit
6173-GOLSU,6341.55,0.51,VIP Customer,60.27,High,Offer discount / loyalty benefit
2439-LYPMQ,3898.8,0.7,High Value At Risk,60.24,High,Offer discount / loyalty benefit
8375-DKEBR,69.6,0.975,Churn Risk,58.83,High,Offer discount / loyalty benefit
8161-QYMTT,658.6999999999999,0.925,Churn Risk,58.58,High,Offer discount / loyalty benefit
5542-TBBWB,69.9,0.97,Churn Risk,58.53,High,Offer discount / loyalty benefit
9804-ICWBG,69.9,0.97,Churn Risk,58.53,High,Offer discount / loyalty benefit
2452-KDRRH,6793.8,0.435,VIP Customer,57.88,High,Offer discount / loyalty benefit
7278-CKDNC,1932.0,0.81,Churn Risk,57.64,High,Offer discount / loyalty benefit
8739-WWKDU,2237.5,0.78,Churn Risk,57.27,High,Offer discount / loyalty benefit
7056-IMHCC,5400.700000000001,0.53,High Value Customer,57.07,High,Offer discount / loyalty benefit
1820-TQVEV,69.55,0.945,Churn Risk,57.03,High,Offer discount / loyalty benefit
3320-VEOYC,1338.4,0.84,Churn Risk,56.66,High,Offer discount / loyalty benefit
6861-XWTWQ,694.75,0.885,Churn Risk,56.35,High,Offer discount / loyalty benefit
2545-EBUPK,168.1,0.925,Churn Risk,56.29,High,Offer discount / loyalty benefit
2665-NPTGL,2550.6,0.735,Churn Risk,56.03,High,Offer discount / loyalty benefit
0655-RBDUG,686.35,0.88,Churn Risk,56.01,High,Offer discount / loyalty benefit
6543-XRMYR,2991.0,0.7,Churn Risk,55.99,High,Offer discount / loyalty benefit
1069-XAIEM,85.05,0.925,Churn Risk,55.9,High,Offer discount / loyalty benefit
9248-OJYKK,76.45,0.925,Churn Risk,55.86,High,Offer discount / loyalty benefit
3716-BDVDB,69.1,0.925,Churn Risk,55.82,High,Offer discount / loyalty benefit
0295-PPHDO,95.45,0.92,Churn Risk,55.65,High,Offer discount / loyalty benefit
8884-ADFVN,713.65,0.87,Churn Risk,55.54,High,Offer discount / loyalty benefit
1143-NMNQJ,171.4,0.905,Churn Risk,55.1,High,Offer discount / loyalty benefit
6377-WHAOX,6369.0,0.42,VIP Customer,55.0,High,Offer discount / loyalty benefit
2514-GINMM,79.5,0.91,Churn Risk,54.97,High,Offer discount / loyalty benefit
8258-GSTJK,231.0,0.895,Churn Risk,54.78,High,Offer discount / loyalty benefit
8245-UMPYT,1542.4,0.79,Churn Risk,54.62,High,Offer discount / loyalty benefit
2737-YNGYW,161.1,0.89,Churn Risk,54.15,High,Offer discount / loyalty benefit
2800-QQUSO,4212.599999999999,0.57,High Value Customer,53.91,High,Offer discount / loyalty benefit
9057-SIHCH,289.79999999999995,0.875,Churn Risk,53.86,High,Offer discount / loyalty benefit
6651-AZVTJ,4890.2,0.515,High Value Customer,53.78,High,Offer discount / loyalty benefit
2867-UIMSS,80.5,0.89,Churn Risk,53.78,High,Offer discount / loyalty benefit
8709-KRDVL,3300.0,0.635,High Value Customer,53.54,High,Offer discount / loyalty benefit
6328-ZPBGN,1046.65,0.81,Churn Risk,53.5,High,Offer discount / loyalty benefit
7249-WBIYX,856.0,0.825,Churn Risk,53.5,High,Offer discount / loyalty benefit
4415-IJZTP,74.5,0.885,Churn Risk,53.45,High,Offer discount / loyalty benefit
8380-PEFPE,71.65,0.885,Churn Risk,53.44,High,Offer discount / loyalty benefit
4735-ASGMA,2557.1,0.69,Monitor,53.36,High,Offer discount / loyalty benefit
4817-VYYWS,3006.0,0.65,High Value Customer,53.06,High,Offer discount / loyalty benefit
6899-PPEEA,3572.35,0.605,High Value Customer,53.01,High,Offer discount / loyalty benefit
0841-NULXI,35.55,0.88,Churn Risk,52.97,High,Offer discount / loyalty benefit
9221-OTIVJ,1467.9,0.765,Churn Risk,52.77,High,Offer discount / loyalty benefit
5331-RGMTT,5348.7,0.46,High Value Customer,52.62,High,Offer discount / loyalty benefit
1833-TCXKK,4848.75,0.495,High Value Customer,52.38,High,Offer discount / loyalty benefit
4090-KPJIP,224.85,0.855,Churn Risk,52.35,High,Offer discount / loyalty benefit
5178-LMXOP,95.1,0.865,Churn Risk,52.34,High,Offer discount / loyalty benefit
2609-IAICY,77.15,0.865,Churn Risk,52.26,High,Offer discount / loyalty benefit
6023-YEBUP,302.85,0.845,Churn Risk,52.12,High,Offer discount / loyalty benefit
4750-ZRXIU,338.4,0.84,Churn Risk,51.98,High,Offer discount / loyalty benefit
8593-WHYHV,255.9,0.84,Churn Risk,51.6,High,Offer discount / loyalty benefit
6979-ZNSFF,696.4,0.805,Churn Risk,51.56,High,Offer discount / loyalty benefit
7134-MJPDY,6788.099999999999,0.33,VIP Customer,51.56,High,Offer discount / loyalty benefit
4713-LZDRV,159.2,0.845,Churn Risk,51.44,High,Offer discount / loyalty benefit
5196-SGOAK,75.7,0.85,Churn Risk,51.35,High,Offer discount / loyalty benefit
