customer_id,tenure,monthly_charges,total_charges,contract,internet_service,churn,monthly_revenue,estimated_lifespan,ltv,revenue_per_month,ltv_segment,predicted_churn,churn_probability,churn_risk,customer_segment
7590-VHVEG,1,29.85,29.85,Month-to-month,DSL,No,29.85,1,29.85,29.85,Low Value,,0.0,Low Risk,Low Priority
5575-GNVDE,34,56.95,1889.5,One year,DSL,No,56.95,34,1936.3,55.5735294117647,Medium Value,,0.0,Low Risk,Low Priority
3668-QPYBK,2,53.85,108.15,Month-to-month,DSL,Yes,53.85,2,107.7,54.075,Low Value,,0.0,Low Risk,Low Priority
7795-CFOCW,45,42.3,1840.75,One year,DSL,No,42.3,45,1903.5,40.90555555555556,Medium Value,,0.0,Low Risk,Low Priority
9237-HQITU,2,70.7,151.65,Month-to-month,Fiber optic,Yes,70.7,2,141.4,75.825,Low Value,,0.0,Low Risk,Low Priority
9305-CDSKC,8,99.65,820.5,Month-to-month,Fiber optic,Yes,99.65,8,797.2,102.5625,Low Value,,0.0,Low Risk,Low Priority
1452-KIOVK,22,89.1,1949.4,Month-to-month,Fiber optic,No,89.1,22,1960.2,88.60909090909091,Medium Value,No,0.465,Medium Risk,Monitor
6713-OKOMC,10,29.75,301.9,Month-to-month,DSL,No,29.75,10,297.5,30.19,Low Value,No,0.1,Low Risk,Low Priority
7892-POOKP,28,104.8,3046.05,Month-to-month,Fiber optic,Yes,104.8,28,2934.4,108.7875,Medium Value,,0.0,Low Risk,Low Priority
6388-TABGU,62,56.15,3487.95,One year,DSL,No,56.15,62,3481.3,56.25725806451613,High Value,No,0.035,Low Risk,High Value Customer
9763-GRSKD,13,49.95,587.45,Month-to-month,DSL,No,49.95,13,649.35,45.18846153846154,Low Value,,0.0,Low Risk,Low Priority
7469-LKBCI,16,18.95,326.8,Two year,No,No,18.95,16,303.2,20.425,Low Value,,0.0,Low Risk,Low Priority
8091-TTVAX,58,100.35,5681.1,One year,Fiber optic,No,100.35,58,5820.299999999999,97.95,High Value,,0.0,Low Risk,High Value Customer
0280-XJGEX,49,103.7,5036.3,Month-to-month,Fiber optic,Yes,103.7,49,5081.3,102.78163265306122,High Value,,0.0,Low Risk,High Value Customer
5129-JLPIS,25,105.5,2686.05,Month-to-month,Fiber optic,No,105.5,25,2637.5,107.442,Medium Value,No,0.43,Medium Risk,Monitor
3655-SNQYZ,69,113.25,7895.15,Two year,Fiber optic,No,113.25,69,7814.25,114.42246376811592,Very High Value,,0.0,Low Risk,VIP Customer
8191-XWSZG,52,20.65,1022.95,One year,No,No,20.65,52,1073.8,19.672115384615385,Medium Value,,0.0,Low Risk,Low Priority
9959-WOFKT,71,106.7,7382.25,Two year,Fiber optic,No,106.7,71,7575.7,103.97535211267606,Very High Value,,0.0,Low Risk,VIP Customer
4190-MFLUW,10,55.2,528.35,Month-to-month,DSL,Yes,55.2,10,552.0,52.835,Low Value,No,0.145,Low Risk,Low Priority
4183-MYFRB,21,90.05,1862.9,Month-to-month,Fiber optic,No,90.05,21,1891.05,88.70952380952382,Medium Value,,0.0,Low Risk,Low Priority
8779-QRDMV,1,39.65,39.65,Month-to-month,DSL,Yes,39.65,1,39.65,39.65,Low Value,,0.0,Low Risk,Low Priority
1680-VDCWW,12,19.8,202.25,One year,No,No,19.8,12,237.6,16.854166666666668,Low Value,,0.0,Low Risk,Low Priority
1066-JKSGK,1,20.15,20.15,Month-to-month,No,Yes,20.15,1,20.15,20.15,Low Value,,0.0,Low Risk,Low Priority
3638-WEABW,58,59.9,3505.1,Two year,DSL,No,59.9,58,3474.2,60.43275862068965,High Value,,0.0,Low Risk,High Value Customer
6322-HRPFA,49,59.6,2970.3,Month-to-month,DSL,No,59.6,49,2920.4,60.61836734693878,Medium Value,No,0.05,Low Risk,Low Priority
6865-JZNKO,30,55.3,1530.6,Month-to-month,DSL,No,55.3,30,1659.0,51.02,Medium Value,,0.0,Low Risk,Low Priority
6467-CHFZW,47,99.35,4749.15,Month-to-month,Fiber optic,Yes,99.35,47,4669.45,101.04574468085106,High Value,,0.0,Low Risk,High Value Customer
8665-UTDHZ,1,30.2,30.2,Month-to-month,DSL,Yes,30.2,1,30.2,30.2,Low Value,,0.0,Low Risk,Low Priority
5248-YGIJN,72,90.25,6369.45,Two year,DSL,No,90.25,72,6498.0,88.46458333333334,Very High Value,,0.0,Low Risk,VIP Customer
8773-HHUOZ,17,64.7,1093.1,Month-to-month,DSL,Yes,64.7,17,1099.9,64.3,Medium Value,,0.0,Low Risk,Low Priority
3841-NFECX,71,96.35,6766.95,Two year,Fiber optic,No,96.35,71,6840.849999999999,95.30915492957746,Very High Value,,0.0,Low Risk,VIP Customer
4929-XIHVW,2,95.5,181.65,Month-to-month,Fiber optic,No,95.5,2,191.0,90.825,Low Value,,0.0,Low Risk,Low Priority
6827-IEAUQ,27,66.15,1874.45,One year,DSL,No,66.15,27,1786.0500000000002,69.42407407407407,Medium Value,,0.0,Low Risk,Low Priority
7310-EGVHZ,1,20.2,20.2,Month-to-month,No,No,20.2,1,20.2,20.2,Low Value,,0.0,Low Risk,Low Priority
3413-BMNZE,1,45.25,45.25,Month-to-month,DSL,No,45.25,1,45.25,45.25,Low Value,,0.0,Low Risk,Low Priority
6234-RAAPL,72,99.9,7251.7,Two year,Fiber optic,No,99.9,72,7192.8,100.71805555555557,Very High Value,,0.0,Low Risk,VIP Customer
6047-YHPVI,5,69.7,316.9,Month-to-month,Fiber optic,Yes,69.7,5,348.5,63.38,Low Value,Yes,0.625,Medium Risk,Monitor
