Feature,Importance
LTV,0.06992511359337783
tenure,0.06933626790992595
MonthlyCharges,0.05286091793936226
PaymentMethod_Electronic check,0.0234287739888646
InternetService_Fiber optic,0.021672596288073297
Contract_Two year,0.01870746095014771
OnlineSecurity_Yes,0.016349252450529303
TechSupport_Yes,0.015923057842809136
Contract_One year,0.015289076469283831
PaperlessBilling_Yes,0.015223746591548282
OnlineBackup_Yes,0.01266151767322854
Partner_Yes,0.011530665997014517
gender_Male,0.010291436779614607
Dependents_Yes,0.009766188488510045
SeniorCitizen,0.009730778149773436
DeviceProtection_Yes,0.009343370121109324
MultipleLines_Yes,0.008816680273202891
StreamingTV_Yes,0.008318076155522571
PaymentMethod_Credit card (automatic),0.008150022473414183
StreamingMovies_Yes,0.007869245560401477
StreamingMovies_No internet service,0.007324505654261972
TechSupport_No internet service,0.007220881726979115
OnlineSecurity_No internet service,0.007051509667169255
DeviceProtection_No internet service,0.006629241268189145
PaymentMethod_Mailed check,0.00582618288356189
OnlineBackup_No internet service,0.005736686143508251
StreamingTV_No internet service,0.0046416287298191115
InternetService_No,0.0039806612214222
MultipleLines_No phone service,0.0027871008432215918
PhoneService_Yes,0.0027670705809585377
TotalCharges_20.15,0.0007278248071891692
TotalCharges_19.9,0.0006613571588352539
TotalCharges_288.05,0.0006067037025865561
TotalCharges_19.45,0.000602247169939524
TotalCharges_45.3,0.0005899405251382754
TotalCharges_44.4,0.0005037980708887483
TotalCharges_19.6,0.0004986730801377687
TotalCharges_20.1,0.0004860547274126776
TotalCharges_20.2,0.000483178466781988
TotalCharges_20.5,0.0004597175162972142
Customers_4786-UKSNZ,0.00041553233168686046
Customers_7551-JOHTI,0.00040798671529583856
TotalCharges_45.7,0.00039893850076856035
Customers_1577-HKTFG,0.000385339983602322
TotalCharges_1099.6,0.0003791347957403846
Customers_1349-WXNGG,0.00037447353023898727
Customers_7951-QKZPL,0.00036568960603104624
Customers_0516-VRYBW,0.00036495369038450407
Customers_8329-IBCTI,0.00035982611581236967
TotalCharges_19.95,0.0003588675151734524
TotalCharges_297.3,0.0003575842209344951
Customers_7812-FZHPE,0.0003547998535275419
TotalCharges_63.75,0.0003539773449277296
